CRN,Class Name,Building,long,lat,Size,start,end,mon,tues,wed,thur,fri
88760,CEE 8813 K,Mason 3132,33.776764,-84.39844,19,17,18,True,False,True,False,False
88972,CEE 8813 L,Molecular Sciences and Engr 1222,33.779836,-84.396666,23,15,17,True,False,True,False,False
91662,CEE 8813 M,Clough UG Learning Commons 250,33.774909,-84.396404,5,9,11,False,False,True,False,True
89635,CEE 8823 B,Mason 3133,33.776764,-84.39844,19,14,15,True,False,True,False,False
94028,CEE 8823 B01,Mason 3132,33.776764,-84.39844,19,11,14,False,False,False,False,True
87672,COE 1000 A,Skiles 256,33.773568,-84.395957,33,15,16,True,False,False,False,False
81840,COE 2001 A,Mason 2117,33.776764,-84.39844,67,8,9,False,True,False,True,False
93418,COE 2001 B,Mason 5134,33.776764,-84.39844,70,8,9,False,True,False,True,False
84146,COE 2001 C,Mason 3133,33.776764,-84.39844,60,17,18,False,True,False,True,False
88886,COE 2001 D,Kendeda 230,33.778759,-84.399597,46,8,9,False,True,False,True,False
81875,COE 2001 F,Klaus Advanced Computing 2456,33.777107,-84.395817,50,8,9,True,False,True,False,False
83016,COE 2001 H,Manufacture Rel Discip Complex 2407,33.777187,-84.400484,72,8,9,False,True,False,True,False
91800,COE 2001 HP,Curran Street Deck 210,33.779495,-84.405633,25,15,16,False,True,False,True,False
93946,COE 2001 I,College of Computing 52,33.777576,-84.397352,36,12,13,False,True,False,True,False
81885,COE 2001 J,Manufacture Rel Discip Complex 2407,33.777187,-84.400484,68,12,13,False,True,False,True,False
85001,COE 2001 K,Kendeda 210,33.778759,-84.399597,64,8,9,True,False,True,False,False
86139,COE 2001 M,Molecular Sciences and Engr G021,33.779836,-84.396666,44,12,13,True,False,True,False,False
86683,COE 2001 N,Kendeda 230,33.778759,-84.399597,63,9,10,False,True,False,True,False
89513,COE 2701 L01,Klaus Advanced Computing 2448,33.777107,-84.395817,22,12,14,False,True,False,True,False
89516,COE 2701 L02,Klaus Advanced Computing 2448,33.777107,-84.395817,22,14,15,False,True,False,True,False
89518,COE 2701 L03,Klaus Advanced Computing 2448,33.777107,-84.395817,20,15,17,False,True,False,True,False
89519,COE 2701 L04,Klaus Advanced Computing 2448,33.777107,-84.395817,19,17,18,False,True,False,True,False
84987,COE 3001 A,Mason 3133,33.776764,-84.39844,62,8,9,True,False,True,False,False
84574,COE 3001 B,Mason 2117,33.776764,-84.39844,62,11,12,True,False,True,False,False
88762,COE 3001 C,Van Leer C241,33.776065,-84.397116,50,8,9,False,True,False,True,False
87307,COE 3001 G,Kendeda 210,33.778759,-84.399597,55,17,18,False,True,False,True,False
86099,COE 3001 H,Skiles 368,33.773568,-84.395957,40,9,11,False,True,False,True,False
86684,COE 3001 I,Klaus Advanced Computing 1447,33.777107,-84.395817,70,8,9,False,True,False,True,False
90200,COE 3001 L,Instructional Center 215,33.775587,-84.401213,56,8,9,True,False,True,False,False
87291,COE 3002 HP,Scheller College of Business 221,33.776533,-84.387765,8,17,18,False,True,False,True,False
87292,COE 3002 TM,Scheller College of Business 221,33.776533,-84.387765,28,17,18,False,True,False,True,False
84737,CX 4010 A,Scheller College of Business 200,33.776533,-84.387765,53,9,11,False,True,False,True,False
84739,CX 4140 A,Cherry Emerson 320,33.778011,-84.397065,42,9,11,True,False,True,False,False
84975,CX 4242 A,Clough UG Learning Commons 152,33.774909,-84.396404,41,15,17,False,True,False,True,False
84738,CX 4640 A,Engineering Sci and Mechanics 201,33.772114,-84.395289,26,14,15,False,True,False,True,False
82722,CSE 6001 A,Clough UG Learning Commons 325,33.774909,-84.396404,23,9,10,False,False,True,False,False
88204,CSE 6010 A,Scheller College of Business 200,33.776533,-84.387765,72,9,11,False,True,False,True,False
85207,CSE 6040 A,College of Computing 17,33.777576,-84.397352,73,14,15,False,True,False,True,False
82703,CSE 6140 A,Klaus Advanced Computing 1443,33.777107,-84.395817,199,11,12,True,False,True,False,False
84929,CSE 6242 A,Clough UG Learning Commons 152,33.774909,-84.396404,234,15,17,False,True,False,True,False
84732,CSE 6643 A,Clough UG Learning Commons 423,33.774909,-84.396404,9,12,14,True,False,True,False,False
84100,CSE 6644 A,Klaus Advanced Computing 1207,33.777107,-84.395817,8,14,15,False,True,False,True,False
87671,CSE 6740 A,East Architecture 123,33.776177,-84.395459,181,12,14,False,True,False,True,False
90352,CSE 7750 A,Weber SST III 1,33.772949,-84.396066,9,15,17,True,False,True,False,False
91617,CSE 8803 DSN,Howey Physics S204,33.777622,-84.398785,20,17,18,False,True,False,True,False
92057,CSE 8803 EPI,Van Leer C456,33.776065,-84.397116,46,17,18,False,True,False,True,False
89416,CSE 8803 NDA,Van Leer E283,33.776065,-84.397116,10,14,15,True,False,True,False,False
86859,CS 1100 A1,Instructional Center 103,33.775587,-84.401213,279,11,12,True,False,False,False,False
86860,CS 1100 A2,Clough UG Learning Commons 144,33.774909,-84.396404,249,12,13,False,False,False,False,True
88203,CS 1100 A3,College of Computing 17,33.777576,-84.397352,102,14,15,True,False,False,False,False
92112,CS 1100 A4,College of Computing 16,33.777576,-84.397352,238,15,16,True,False,False,False,False
90670,CS 1100 B1,College of Computing 16,33.777576,-84.397352,233,14,15,False,False,False,False,True
90193,CS 1100 B2,Instructional Center 215,33.775587,-84.401213,71,11,12,False,False,False,False,True
82441,CS 1301 A,Howey Physics L2,33.777622,-84.398785,152,11,12,True,False,True,False,True
84235,CS 1301 B,Klaus Advanced Computing 1443,33.777107,-84.395817,189,14,15,True,False,True,False,True
89188,CS 1301 C,Klaus Advanced Computing 1443,33.777107,-84.395817,190,8,9,True,False,True,False,True
88268,CS 1301 GR,Howey Physics L2,33.777622,-84.398785,1,11,12,True,False,True,False,True
91354,CS 1301R A01,Instructional Center 105,33.775587,-84.401213,50,17,18,False,False,True,False,False
91355,CS 1301R A02,Van Leer C340,33.776065,-84.397116,50,17,18,False,False,False,True,False
91356,CS 1301R A03,Van Leer C341,33.776065,-84.397116,17,18,20,False,False,True,False,False
91358,CS 1301R B01,Van Leer C241,33.776065,-84.397116,50,17,18,False,False,True,False,False
91359,CS 1301R B02,Skiles 202,33.773568,-84.395957,49,17,18,False,False,False,True,False
91361,CS 1301R B03,Skiles 202,33.773568,-84.395957,49,18,20,False,False,False,True,False
91362,CS 1301R B04,Cherry Emerson 320,33.778011,-84.397065,0,18,20,False,False,False,True,False
91364,CS 1301R C01,Molecular Sciences and Engr 1222,33.779836,-84.396666,50,17,18,False,False,False,True,False
91365,CS 1301R C02,Molecular Sciences and Engr 1222,33.779836,-84.396666,50,17,18,False,False,True,False,False
91366,CS 1301R C03,Howey Physics L5,33.777622,-84.398785,50,17,18,False,False,False,True,False
